financial_year,property_type,category,flat_type,no_of_units
2006,HDB,Sold,1-room flats,0
2006,HDB,Sold,2-room flats,101
2006,HDB,Sold,3-room flats,961
2006,HDB,Sold,4-room flats,2290
2006,HDB,Sold,5-room flats,1303
2006,HDB,Sold,Executive/Multi-Generation flats,1057
2006,HDB,Sold,Studio Apartments,na
2006,HDB,Rented,1-room flats,1929
2006,HDB,Rented,2-room flats,1417
2006,HDB,Rented,3-room flats,688
2006,HDB,Rented,4-room flats,3
2006,HDB,Rented,5-room flats,0
2006,HDB,Rented,Executive/Multi-Generation flats,0
2006,HDB,Rented,Studio Apartments,na
2006,DBSS,Sold,3-room flats,na
2006,DBSS,Sold,4-room flats,na
2006,DBSS,Sold,5-room flats,na
2006,DBSS,Rented,3-room flats,na
2006,DBSS,Rented,4-room flats,na
2006,DBSS,Rented,5-room flats,na
2007,HDB,Sold,1-room flats,0
2007,HDB,Sold,2-room flats,142
2007,HDB,Sold,3-room flats,1852
2007,HDB,Sold,4-room flats,6056
2007,HDB,Sold,5-room flats,2343
2007,HDB,Sold,Executive/Multi-Generation flats,1598
2007,HDB,Sold,Studio Apartments,na
2007,HDB,Rented,1-room flats,1147
2007,HDB,Rented,2-room flats,1066
2007,HDB,Rented,3-room flats,272
2007,HDB,Rented,4-room flats,250
2007,HDB,Rented,5-room flats,0
2007,HDB,Rented,Executive/Multi-Generation flats,0
2007,HDB,Rented,Studio Apartments,na
2007,DBSS,Sold,3-room flats,na
2007,DBSS,Sold,4-room flats,na
2007,DBSS,Sold,5-room flats,na
2007,DBSS,Rented,3-room flats,na
2007,DBSS,Rented,4-room flats,na
2007,DBSS,Rented,5-room flats,na
2008,HDB,Sold,1-room flats,0
2008,HDB,Sold,2-room flats,23
2008,HDB,Sold,3-room flats,713
2008,HDB,Sold,4-room flats,2915
2008,HDB,Sold,5-room flats,914
2008,HDB,Sold,Executive/Multi-Generation flats,173
2008,HDB,Sold,Studio Apartments,na
2008,HDB,Rented,1-room flats,1238
2008,HDB,Rented,2-room flats,1200
2008,HDB,Rented,3-room flats,12
2008,HDB,Rented,4-room flats,0
2008,HDB,Rented,5-room flats,0
2008,HDB,Rented,Executive/Multi-Generation flats,0
2008,HDB,Rented,Studio Apartments,na
2008,DBSS,Sold,3-room flats,na
2008,DBSS,Sold,4-room flats,na
2008,DBSS,Sold,5-room flats,na
2008,DBSS,Rented,3-room flats,na
2008,DBSS,Rented,4-room flats,na
2008,DBSS,Rented,5-room flats,na
2009,HDB,Sold,1-room flats,0
2009,HDB,Sold,2-room flats,60
2009,HDB,Sold,3-room flats,476
2009,HDB,Sold,4-room flats,3612
2009,HDB,Sold,5-room flats,778
2009,HDB,Sold,Executive/Multi-Generation flats,64
2009,HDB,Sold,Studio Apartments,na
2009,HDB,Rented,1-room flats,1744
2009,HDB,Rented,2-room flats,1231
2009,HDB,Rented,3-room flats,5
2009,HDB,Rented,4-room flats,0
2009,HDB,Rented,5-room flats,0
2009,HDB,Rented,Executive/Multi-Generation flats,0
2009,HDB,Rented,Studio Apartments,na
2009,DBSS,Sold,3-room flats,na
2009,DBSS,Sold,4-room flats,na
2009,DBSS,Sold,5-room flats,na
2009,DBSS,Rented,3-room flats,na
2009,DBSS,Rented,4-room flats,na
2009,DBSS,Rented,5-room flats,na
2010,HDB,Sold,1-room flats,0
2010,HDB,Sold,2-room flats,228
2010,HDB,Sold,3-room flats,1884
2010,HDB,Sold,4-room flats,5331
2010,HDB,Sold,5-room flats,640
2010,HDB,Sold,Executive/Multi-Generation flats,42
2010,HDB,Sold,Studio Apartments,na
2010,HDB,Rented,1-room flats,2033
2010,HDB,Rented,2-room flats,1380
2010,HDB,Rented,3-room flats,1
2010,HDB,Rented,4-room flats,0
2010,HDB,Rented,5-room flats,0
2010,HDB,Rented,Executive/Multi-Generation flats,0
2010,HDB,Rented,Studio Apartments,na
2010,DBSS,Sold,3-room flats,na
2010,DBSS,Sold,4-room flats,na
2010,DBSS,Sold,5-room flats,na
2010,DBSS,Rented,3-room flats,na
2010,DBSS,Rented,4-room flats,na
2010,DBSS,Rented,5-room flats,na
2011,HDB,Sold,1-room flats,0
2011,HDB,Sold,2-room flats,276
2011,HDB,Sold,3-room flats,1960
2011,HDB,Sold,4-room flats,8497
2011,HDB,Sold,5-room flats,1761
2011,HDB,Sold,Executive/Multi-Generation flats,55
2011,HDB,Sold,Studio Apartments,369
2011,HDB,Rented,1-room flats,2455
2011,HDB,Rented,2-room flats,1640
2011,HDB,Rented,3-room flats,0
2011,HDB,Rented,4-room flats,0
2011,HDB,Rented,5-room flats,0
2011,HDB,Rented,Executive/Multi-Generation flats,0
2011,HDB,Rented,Studio Apartments,na
2011,DBSS,Sold,3-room flats,2
2011,DBSS,Sold,4-room flats,361
2011,DBSS,Sold,5-room flats,776
2011,DBSS,Rented,3-room flats,0
2011,DBSS,Rented,4-room flats,0
2011,DBSS,Rented,5-room flats,0
2012,HDB,Sold,1-room flats,0
2012,HDB,Sold,2-room flats,650
2012,HDB,Sold,3-room flats,2333
2012,HDB,Sold,4-room flats,6122
2012,HDB,Sold,5-room flats,1328
2012,HDB,Sold,Executive/Multi-Generation flats,100
2012,HDB,Sold,Studio Apartments,422
2012,HDB,Rented,1-room flats,2734
2012,HDB,Rented,2-room flats,1695
2012,HDB,Rented,3-room flats,8
2012,HDB,Rented,4-room flats,14
2012,HDB,Rented,5-room flats,0
2012,HDB,Rented,Executive/Multi-Generation flats,0
2012,HDB,Rented,Studio Apartments,0
2012,DBSS,Sold,3-room flats,95
2012,DBSS,Sold,4-room flats,306
2012,DBSS,Sold,5-room flats,821
2012,DBSS,Rented,3-room flats,0
2012,DBSS,Rented,4-room flats,0
2012,DBSS,Rented,5-room flats,0
2013,HDB,Sold,1-room flats,0
2013,HDB,Sold,2-room flats,967
2013,HDB,Sold,3-room flats,2757
2013,HDB,Sold,4-room flats,7477
2013,HDB,Sold,5-room flats,2073
2013,HDB,Sold,Executive/Multi-Generation flats,36
2013,HDB,Sold,Studio Apartments,1079
2013,HDB,Rented,1-room flats,1592
2013,HDB,Rented,2-room flats,1179
2013,HDB,Rented,3-room flats,500
2013,HDB,Rented,4-room flats,446
2013,HDB,Rented,5-room flats,21
2013,HDB,Rented,Executive/Multi-Generation flats,0
2013,HDB,Rented,Studio Apartments,0
2013,DBSS,Sold,3-room flats,167
2013,DBSS,Sold,4-room flats,511
2013,DBSS,Sold,5-room flats,137
2013,DBSS,Rented,3-room flats,0
2013,DBSS,Rented,4-room flats,0
2013,DBSS,Rented,5-room flats,0
2014,HDB,Sold,1-room flats,0
2014,HDB,Sold,2-room flats,1224
2014,HDB,Sold,3-room flats,3718
2014,HDB,Sold,4-room flats,11414
2014,HDB,Sold,5-room flats,5392
2014,HDB,Sold,Executive/Multi-Generation flats,13
2014,HDB,Sold,Studio Apartments,2578
2014,HDB,Rented,1-room flats,1505
2014,HDB,Rented,2-room flats,1308
2014,HDB,Rented,3-room flats,52
2014,HDB,Rented,4-room flats,154
2014,HDB,Rented,5-room flats,74
2014,HDB,Rented,Executive/Multi-Generation flats,0
2014,HDB,Rented,Studio Apartments,na
2014,DBSS,Sold,3-room flats,738
2014,DBSS,Sold,4-room flats,1598
2014,DBSS,Sold,5-room flats,1004
2014,DBSS,Rented,5-room flats,0
2014,DBSS,Rented,3-room flats,0
2014,DBSS,Rented,4-room flats,0
2015,HDB,Sold,1-room flats,0
2015,HDB,Sold,2-room flats,539
2015,HDB,Sold,3-room flats,3373
2015,HDB,Sold,4-room flats,10663
2015,HDB,Sold,5-room flats,4939
2015,HDB,Sold,Executive/Multi-Generation flats,8
2015,HDB,Sold,Studio Apartments,1580
2015,HDB,Sold,Flats sold on short leases,19
2015,HDB,Rented,1-room flats,1642
2015,HDB,Rented,2-room flats,1103
2015,HDB,Rented,3-room flats,488
2015,HDB,Rented,4-room flats,79
2015,HDB,Rented,5-room flats,7
2015,HDB,Rented,Executive/Multi-Generation flats,0
2015,HDB,Rented,Studio Apartments,na
2015,HDB,Rented,Flats sold on short leases,na
2015,DBSS,Sold,3-room flats,142
2015,DBSS,Sold,4-room flats,233
2015,DBSS,Sold,5-room flats,125
2015,DBSS,Rented,5-room flats,0
2015,DBSS,Rented,3-room flats,0
2015,DBSS,Rented,4-room flats,0
2016,HDB,Sold,1-room flats,0
2016,HDB,Sold,2-room flats,588
2016,HDB,Sold,3-room flats,4650
2016,HDB,Sold,4-room flats,10926
2016,HDB,Sold,5-room flats,5274
2016,HDB,Sold,Executive/Multi-Generation flats,12
2016,HDB,Sold,Studio Apartments,879
2016,HDB,Sold,Flats sold on short leases,795
2016,HDB,Rented,1-room flats,1810
2016,HDB,Rented,2-room flats,1565
2016,HDB,Rented,3-room flats,307
2016,HDB,Rented,4-room flats,113
2016,HDB,Rented,5-room flats,4
2016,HDB,Rented,Executive/Multi-Generation flats,0
2016,HDB,Rented,Studio Apartments,0
2016,HDB,Rented,Flats sold on short leases,0
2016,DBSS,Sold,3-room flats,9
2016,DBSS,Sold,4-room flats,21
2016,DBSS,Sold,5-room flats,7
2016,DBSS,Rented,3-room flats,0
2016,DBSS,Rented,4-room flats,0
2016,DBSS,Rented,5-room flats,0
2017,HDB,Sold,1-room flats,0
2017,HDB,Sold,2-room flats,3588
2017,HDB,Sold,3-room flats,5458
2017,HDB,Sold,4-room flats,12443
2017,HDB,Sold,5-room flats,5350
2017,HDB,Sold,Executive/Multi-Generation flats,18
2017,HDB,Sold,Studio Apartments,765
2017,HDB,Sold,Flats sold on short leases,1107
2017,HDB,Rented,1-room flats,1773
2017,HDB,Rented,2-room flats,1313
2017,HDB,Rented,3-room flats,298
2017,HDB,Rented,4-room flats,28
2017,HDB,Rented,5-room flats,0
2017,HDB,Rented,Executive/Multi-Generation flats,0
2017,HDB,Rented,Studio Apartments,0
2017,HDB,Rented,Flats sold on short leases,0
2017,DBSS,Sold,3-room flats,2
2017,DBSS,Sold,4-room flats,7
2017,DBSS,Sold,5-room flats,1
2017,DBSS,Rented,3-room flats,0
2017,DBSS,Rented,4-room flats,0
2017,DBSS,Rented,5-room flats,0
2018,HDB,Sold,1-room flats,0
2018,HDB,Sold,2-room flats,3050
2018,HDB,Sold,3-room flats,3462
2018,HDB,Sold,4-room flats,7528
2018,HDB,Sold,5-room flats,2555
2018,HDB,Sold,Executive/Multi-Generation flats,13
2018,HDB,Sold,Studio Apartments,212
2018,HDB,Sold,Flats sold on short leases,890
2018,HDB,Rented,1-room flats,1707
2018,HDB,Rented,2-room flats,1324
2018,HDB,Rented,3-room flats,254
2018,HDB,Rented,4-room flats,35
2018,HDB,Rented,5-room flats,0
2018,HDB,Rented,Executive/Multi-Generation flats,0
2018,HDB,Rented,Studio Apartments,0
2018,HDB,Rented,Flats sold on short leases,0
2018,DBSS,Sold,3-room flats,0
2018,DBSS,Sold,4-room flats,10
2018,DBSS,Sold,5-room flats,1
2018,DBSS,Rented,3-room flats,0
2018,DBSS,Rented,4-room flats,0
2018,DBSS,Rented,5-room flats,0
2019,HDB,Sold,1-room flats,0
2019,HDB,Sold,2-room flats,2032
2019,HDB,Sold,3-room flats,2188
2019,HDB,Sold,4-room flats,5212
2019,HDB,Sold,5-room flats,2160
2019,HDB,Sold,Executive/Multi-Generation flats,17
2019,HDB,Sold,Studio Apartments,259
2019,HDB,Sold,Flats sold on short leases,1409
2019,HDB,Rented,1-room flats,1752
2019,HDB,Rented,2-room flats,1349
2019,HDB,Rented,3-room flats,167
2019,HDB,Rented,4-room flats,15
2019,HDB,Rented,5-room flats,0
2019,HDB,Rented,Executive/Multi-Generation flats,0
2019,HDB,Rented,Studio Apartments,0
2019,HDB,Rented,Flats sold on short leases,0
2019,DBSS,Sold,3-room flats,0
2019,DBSS,Sold,4-room flats,3
2019,DBSS,Sold,5-room flats,2
2019,DBSS,Rented,3-room flats,0
2019,DBSS,Rented,4-room flats,0
2019,DBSS,Rented,5-room flats,0
2020,HDB,Sold,1-room flats,0
2020,HDB,Sold,2-room flats,1432
2020,HDB,Sold,3-room flats,1474
2020,HDB,Sold,4-room flats,3575
2020,HDB,Sold,5-room flats,1635
2020,HDB,Sold,Executive/Multi-Generation flats,8
2020,HDB,Sold,Studio Apartments,3
2020,HDB,Sold,Flats sold on short leases,1071
2020,HDB,Rented,1-room flats,2069
2020,HDB,Rented,2-room flats,2701
2020,HDB,Rented,3-room flats,165
2020,HDB,Rented,4-room flats,8
2020,HDB,Rented,5-room flats,0
2020,HDB,Rented,Executive/Multi-Generation flats,0
2020,HDB,Rented,Studio Apartments,0
2020,HDB,Rented,Flats sold on short leases,0
2020,DBSS,Sold,3-room flats,0
2020,DBSS,Sold,4-room flats,3
2020,DBSS,Sold,5-room flats,0
2020,DBSS,Rented,3-room flats,0
2020,DBSS,Rented,4-room flats,0
2020,DBSS,Rented,5-room flats,0
2021,HDB,Sold,1-room flats,0
2021,HDB,Sold,2-room flats,1598
2021,HDB,Sold,3-room flats,2861
2021,HDB,Sold,4-room flats,6163
2021,HDB,Sold,5-room flats,2870
2021,HDB,Sold,Executive/Multi-Generation flats,14
2021,HDB,Sold,Studio Apartments,0
2021,HDB,Sold,Flats sold on short leases,1444
2021,HDB,Rented,1-room flats,1335
2021,HDB,Rented,2-room flats,1805
2021,HDB,Rented,3-room flats,146
2021,HDB,Rented,4-room flats,4
2021,HDB,Rented,5-room flats,0
2021,HDB,Rented,Executive/Multi-Generation flats,0
2021,HDB,Rented,Studio Apartments,0
2021,HDB,Rented,Flats sold on short leases,0
2021,DBSS,Sold,3-room flats,0
2021,DBSS,Sold,4-room flats,2
2021,DBSS,Sold,5-room flats,0
2021,DBSS,Rented,3-room flats,0
2021,DBSS,Rented,4-room flats,0
2021,DBSS,Rented,5-room flats,0
