financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg
2008,Punggol,2-room,82000,107000,0,0
2008,Punggol,3-room,135000,211000,0,0
2008,Punggol,4-room,223000,327000,0,0
2008,Punggol,5-room,305000,428000,0,0
2008,Jurong West,3-room,142000,160000,0,0
2008,Jurong West,4-room,211000,253000,0,0
2008,Jurong West,5-room,229000,319000,0,0
2008,Bukit Panjang,2-room,82000,106000,0,0
2008,Bukit Panjang,3-room,138000,170000,0,0
2008,Bukit Panjang,4-room,211000,270000,0,0
2008,Woodlands,3-room,116000,164000,0,0
2008,Woodlands,4-room,184000,257000,0,0
2008,Woodlands,5-room,247000,296000,0,0
2008,Sengkang,2-room,73000,95000,0,0
2008,Sengkang,3-room,120000,162000,0,0
2008,Sengkang,4-room,190000,275000,0,0
2008,Sengkang,5-room,290000,367000,0,0
2009,Punggol,2-room,89000,114000,0,0
2009,Punggol,3-room,151000,188000,0,0
2009,Punggol,4-room,234000,322000,0,0
2009,Punggol,5-room,332000,409000,0,0
2009,Jurong West,2-room,86000,103000,0,0
2009,Jurong West,3-room,138000,173000,0,0
2009,Jurong West,4-room,223000,266000,0,0
2009,Choa Chu Kang,2-room,83000,104000,0,0
2009,Choa Chu Kang,3-room,128000,172000,0,0
2009,Choa Chu Kang,4-room,212000,275000,0,0
2009,Bukit Panjang,2-room,72000,94000,0,0
2009,Bukit Panjang,3-room,125000,157000,0,0
2009,Bukit Panjang,4-room,210000,250000,0,0
2009,Woodlands,3-room,141000,175000,0,0
2009,Woodlands,4-room,228000,288000,0,0
2009,Sengkang,2-room,74000,98000,0,0
2009,Sengkang,3-room,116000,171000,0,0
2009,Sengkang,4-room,203000,271000,0,0
2009,Sengkang,5-room,281000,352000,0,0
2010,Punggol,3-room,150000,237000,120000,207000
2010,Punggol,4-room,243000,376000,233000,366000
2010,Punggol,5-room,330000,458000,330000,458001
2010,Jurong West,3-room,168000,199000,138000,169000
2010,Jurong West,4-room,239000,325000,229000,315000
2010,Jurong West,5-room,298000,391000,298000,391000
2010,Bukit Panjang,2-room,83000,119000,23000,79000
2010,Bukit Panjang,3-room,143000,191000,113000,161000
2010,Bukit Panjang,4-room,226000,312000,216000,302000
2010,Bukit Panjang,5-room,298000,398000,298000,398000
2010,Woodlands,2-room,78000,105000,38000,65000
2010,Woodlands,3-room,136000,168000,106000,138000
2010,Woodlands,4-room,224000,280000,214000,270000
2010,Woodlands,5-room,270000,328000,270000,328000
2010,Sengkang,2-room,68000,120000,28000,60000
2010,Sengkang,3-room,122000,232000,92000,202000
2010,Sengkang,4-room,201000,359000,191000,349000
2010,Sengkang,5-room,279000,444000,279000,444000
2011,Punggol,2-room,85000,111000,25000,51000
2011,Punggol,3-room,150000,242000,120000,212000
2011,Punggol,4-room,257000,390000,247000,380000
2011,Punggol,5-room,335000,484000,335000,484000
2011,Choa Chu Kang,3-room,146000,172000,116000,142000
2011,Choa Chu Kang,4-room,229000,284000,219000,274000
2011,Choa Chu Kang,5-room,295000,364000,295000,364000
2011,Bukit Panjang,3-room,137000,189000,107000,159000
2011,Bukit Panjang,4-room,217000,298000,207000,288000
2011,Bukit Panjang,5-room,274000,386000,274000,386000
2011,Sembawang,2-room,92000,116000,32000,56000
2011,Sembawang,3-room,158000,191000,128000,161000
2011,Sembawang,4-room,255000,310000,245000,300000
2011,Sengkang,2-room,83000,112000,23000,52000
2011,Sengkang,3-room,134000,220000,104000,190000
2011,Sengkang,4-room,225000,370000,215000,360000
2011,Sengkang,5-room,283000,456000,283000,456000
2011,Yishun,3-room,156000,193000,126000,163000
2011,Yishun,4-room,234000,296000,224000,286000
2011,Yishun,5-room,277000,381000,277000,381000
2012,Punggol,2-room,104000,130000,44000,70000
2012,Punggol,3-room,163000,247000,133000,217000
2012,Punggol,4-room,260000,379000,250000,369000
2012,Punggol,5-room,326000,485000,326000,485000
2012,Choa Chu Kang,2-room,99000,121000,39000,61000
2012,Choa Chu Kang,3-room,138000,182000,108000,152000
2012,Choa Chu Kang,4-room,223000,309000,213000,299000
2012,Choa Chu Kang,5-room,284000,385000,284000,385000
2012,Woodlands,4-room,248000,312000,238000,302000
2012,Woodlands,5-room,308000,381000,308000,381000
2012,Sengkang,3-room,151000,264000,121000,243000
2012,Sengkang,4-room,251000,403000,241000,393000
2012,Sengkang,5-room,304000,499000,304000,499000
2012,Yishun,3-room,170000,197000,140000,167000
2012,Yishun,4-room,264000,320000,254000,310000
2012,Yishun,5-room,331000,388000,331000,388000
2013,Punggol,2-room,81000,141000,21000,81000
2013,Punggol,3-room,176000,232000,126000,182000
2013,Punggol,4-room,279000,377000,244000,342000
2013,Punggol,5-room,365000,495000,355000,485000
2013,Choa Chu Kang,3-room,140000,172000,90000,122000
2013,Choa Chu Kang,4-room,240000,288000,205000,253000
2013,Choa Chu Kang,5-room,308000,372000,298000,362000
2013,Woodlands,2-room,73000,118000,13000,58000
2013,Woodlands,3-room,133000,183000,83000,133000
2013,Woodlands,4-room,223000,298000,188000,263000
2013,Woodlands,5-room,276000,369000,266000,359000
2013,Sembawang,2-room,70000,109000,10000,49000
2013,Sembawang,3-room,138000,177000,88000,127000
2013,Sembawang,4-room,225000,304000,190000,269000
2013,Sembawang,5-room,313000,381000,303000,371000
2013,Sengkang,2-room,76000,124000,16000,64000
2013,Sengkang,3-room,150000,189000,100000,139000
2013,Sengkang,4-room,251000,329000,216000,294000
2013,Sengkang,5-room,358000,425000,348000,415000
2013,Yishun,2-room,75000,118000,15000,58000
2013,Yishun,3-room,150000,234000,100000,184000
2013,Yishun,4-room,252000,320000,217000,285000
2013,Yishun,5-room,316000,393000,306000,383000
2014,Bukit Batok,2-room,80000,142000,20000,82000
2014,Bukit Batok,3-room,160000,211000,110000,161000
2014,Bukit Batok,4-room,259000,344000,224000,309000
2014,Bukit Batok,5-room,350000,457000,340000,447000
2014,Punggol,2-room,82000,139000,22000,79000
2014,Punggol,3-room,166000,212000,116000,162000
2014,Punggol,4-room,278000,341000,243000,306000
2014,Punggol,5-room,334000,429000,324000,419000
2014,Woodlands,2-room,72000,131000,12000,71000
2014,Woodlands,3-room,144000,197000,94000,147000
2014,Woodlands,4-room,229000,312000,194000,277000
2014,Woodlands,5-room,308000,396000,298000,386000
2014,Sembawang,2-room,73000,119000,13000,59000
2014,Sembawang,3-room,148000,185000,98000,135000
2014,Sembawang,4-room,236000,301000,201000,266000
2014,Sembawang,5-room,0,0,0,0
2014,Sengkang,2-room,90000,135000,30000,75000
2014,Sengkang,3-room,164000,208000,114000,158000
2014,Sengkang,4-room,267000,335000,232000,300000
2014,Sengkang,5-room,0,0,0,0
2014,Yishun,2-room,73000,123000,13000,63000
2014,Yishun,3-room,149000,177000,99000,127000
2014,Yishun,4-room,240000,318000,205000,283000
2014,Yishun,5-room,339000,409000,329000,399000
2015,Bukit Batok,2-room,84000,134000,5000,54000
2015,Bukit Batok,3-room,161000,202000,91000,132000
2015,Bukit Batok,4-room,266000,325000,211000,270000
2015,Bukit Batok,5-room,367000,424000,357000,414000
2015,Punggol,2-room,84000,145000,5000,65000
2015,Punggol,3-room,173000,223000,103000,153000
2015,Punggol,4-room,277000,372000,222000,317000
2015,Punggol,5-room,364000,489000,354000,479000
2015,Sembawang,2-room,75000,123000,4000,43000
2015,Sembawang,3-room,152000,188000,82000,118000
2015,Sembawang,4-room,238000,302000,183000,247000
2015,Sembawang,5-room,0,0,0,0
2015,Sengkang,2-room,80000,137000,4000,57000
2015,Sengkang,3-room,159000,202000,89000,132000
2015,Sengkang,4-room,252000,330000,197000,275000
2015,Sengkang,5-room,320000,402000,310000,392000
2016,Bukit Panjang,2-room,73000,139000,4000,59000
2016,Bukit Panjang,3-room,147000,210000,72000,135000
2016,Bukit Panjang,4-room,239000,336000,179000,276000
2016,Bukit Panjang,5-room,315000,410000,310000,405000
2016,Punggol,2-room,80000,140000,4000,60000
2016,Punggol,3-room,163000,210000,88000,135000
2016,Punggol,4-room,257000,365000,197000,305000
2016,Punggol,5-room,329000,498000,324000,493000
2016,Sembawang,2-room,74000,116000,4000,36000
2016,Sembawang,3-room,151000,181000,76000,106000
2016,Sembawang,4-room,235000,300000,175000,240000
2016,Sembawang,5-room,311000,392000,306000,387000
2016,Yishun,2-room,79000,123000,4000,43000
2016,Yishun,3-room,156000,190000,81000,115000
2016,Yishun,4-room,251000,297000,191000,237000
2016,Yishun,5-room,0,0,0,0
2017,Bukit Batok,2-room,87000,164000,7000,84000
2017,Bukit Batok,3-room,171000,246000,96000,171000
2017,Bukit Batok,4-room,265000,321000,205000,261000
2017,Bukit Batok,5-room,353000,418000,348000,413000
2017,Choa Chu Kang,2-room,89000,139000,9000,59000
2017,Choa Chu Kang,3-room,182000,211000,107000,136000
2017,Choa Chu Kang,4-room,250000,340000,190000,280000
2017,Choa Chu Kang,5-room,0,0,0,0
2017,Punggol,2-room,0,0,0,0
2017,Punggol,3-room,0,0,0,0
2017,Punggol,4-room,287000,347000,227000,287000
2017,Punggol,5-room,357000,434000,352000,429000
2017,Sengkang,2-room,78000,139000,4000,59000
2017,Sengkang,3-room,159000,215000,84000,140000
2017,Sengkang,4-room,252000,331000,192000,271000
2017,Sengkang,5-room,317000,402000,312000,397000
2017,Woodlands,2-room,71000,129000,4000,49000
2017,Woodlands,3-room,140000,189000,65000,114000
2017,Woodlands,4-room,225000,318000,165000,258000
2017,Woodlands,5-room,279000,401000,274000,396000
2017,Yishun,2-room,77000,113000,4000,33000
2017,Yishun,3-room,157000,177000,82000,102000
2017,Yishun,4-room,251000,291000,191000,231000
2017,Yishun,5-room,331000,378000,326000,373000
2018,Jurong West,2-room,95000,160000,15000,80000
2018,Jurong West,3-room,185000,243000,110000,168000
2018,Jurong West,4-room,257000,364000,197000,304000
2018,Jurong West,5-room,338000,457000,333000,452000
2018,Punggol,2-room,103000,158000,23000,78000
2018,Punggol,3-room,189000,243000,114000,168000
2018,Punggol,4-room,286000,362000,226000,302000
2018,Punggol,5-room,393000,489000,388000,484000
2018,Sembawang,2-room,0,0,0,0
2018,Sembawang,3-room,165000,204000,90000,129000
2018,Sembawang,4-room,251000,304000,191000,244000
2018,Sembawang,5-room,327000,391000,322000,386000
2018,Sengkang,2-room,99000,151000,19000,71000
2018,Sengkang,3-room,187000,242000,112000,167000
2018,Sengkang,4-room,270000,353000,210000,293000
2018,Sengkang,5-room,362000,438000,357000,433000
2018,Tengah,2-room,101000,150000,21000,70000
2018,Tengah,3-room,193000,243000,118000,168000
2018,Tengah,4-room,290000,355000,230000,295000
2018,Tengah,5-room,397000,480000,392000,475000
2018,Yishun,2-room,75000,132000,4000,52000
2018,Yishun,3-room,170000,216000,95000,141000
2018,Yishun,4-room,248000,317000,188000,257000
2018,Yishun,5-room,334000,405000,329000,400000
2019,Punggol,2-room,109000,173000,29000,93000
2019,Punggol,3-room,205000,268000,130000,193000
2019,Punggol,4-room,287000,398000,227000,338000
2019,Punggol,5-room,423000,551000,378000,506000
2019,Sembawang,2-room,89000,141000,9000,61000
2019,Sembawang,3-room,177000,210000,102000,135000
2019,Sembawang,4-room,272000,320000,212000,260000
2019,Sembawang,5-room,350000,406000,305000,361000
2019,Tengah,2-room,106000,167000,26000,87000
2019,Tengah,3-room,192000,256000,117000,181000
2019,Tengah,4-room,302000,381000,242000,321000
2019,Tengah,5-room,409000,510000,364000,465000
2019,Woodlands,2-room,86000,128000,6000,48000
2019,Woodlands,3-room,165000,194000,90000,119000
2019,Woodlands,4-room,244000,295000,184000,235000
2019,Woodlands,5-room,336000,383000,331000,378000
2020,Bukit Batok,2-room ,101000,144000,21000,64000
2020,Bukit Batok,3-room,175000,221000,100000,146000
2020,Bukit Batok,4-room,260000,334000,200000,274000
2020,Bukit Batok,5-room,384000,460000,339000,415000
2020,Choa Chu Kang,2-room ,99000,143000,19000,63000
2020,Choa Chu Kang,3-room,164000,214000,89000,139000
2020,Choa Chu Kang,4-room,253000,326000,193000,266000
2020,Choa Chu Kang,5-room,0,0,0,0
2020,Sembawang,2-room,92000,122000,12000,42000
2020,Sembawang,3-room,163000,189000,88000,114000
2020,Sembawang,4-room,260000,302000,200000,242000
2020,Sembawang,5-room,336000,388000,291000,343000
2020,Tengah,2-room,108000,167000,28000,87000
2020,Tengah,3-room,194000,248000,119000,173000
2020,Tengah,4-room,288000,366000,228000,306000
2020,Tengah,5-room,394000,489000,349000,444000
2020,Woodlands,2-room,90000,162000,10000,82000
2020,Woodlands,3-room,184000,228000,109000,153000
2020,Woodlands,4-room,276000,381000,216000,321000
2020,Woodlands,5-room,405000,516000,360000,471000
2021,Hougang,2-room ,108000,234000,28000,154000
2021,Hougang,3-room,199000,340000,124000,265000
2021,Hougang,4-room,308000,507000,248000,447000
2021,Hougang,5-room,392000,495000,347000,450000
2021,Jurong East,2-room ,121000,189000,41000,109000
2021,Jurong East,3-room,237000,281000,162000,206000
2021,Jurong East,4-room,347000,436000,287000,376000
2021,Jurong East,5-room,0,0,0,0
2021,Jurong West,2-room,0,0,0,0
2021,Jurong West,3-room,173000,229000,98000,154000
2021,Jurong West,4-room,264000,321000,204000,261000
2021,Jurong West,5-room,0,0,0,0
2021,Tengah,2-room,113000,190000,33000,110000
2021,Tengah,3-room,194000,273000,119000,198000
2021,Tengah,4-room,299000,403000,239000,343000
2021,Tengah,5-room,404000,525000,359000,480000
2021,Woodlands,2-room,98000,148000,18000,68000
2021,Woodlands,3-room,185000,219000,110000,144000
2021,Woodlands,4-room,275000,373000,215000,313000
2021,Woodlands,5-room,372000,491000,327000,446000
2021,Yishun,2-room,95000,149000,15000,69000
2021,Yishun,3-room,180000,248000,105000,173000
2021,Yishun,4-room,270000,374000,210000,314000
2021,Yishun,5-room,358000,490000,340000,445000
